Date,Apple,Google,Microsoft
9/2/2015,28.08499908,32.24549866,43.36000061
9/3/2015,27.59250069,31.85250092,43.5
9/4/2015,27.31749916,31.44799995,42.61000061
9/8/2015,28.07749939,32.19400024,43.88999939
9/9/2015,27.53750038,32.17050171,43.06999969
9/10/2015,28.14249992,32.55400085,43.29000092
9/11/2015,28.55249977,32.76499939,43.47999954
9/14/2015,28.82749939,32.62350082,43.04000092
9/15/2015,29.06999969,33.25350189,43.97999954
9/16/2015,29.10250092,33.27600098,44.29999924
9/17/2015,28.47999954,33.58349991,44.25
9/18/2015,28.36249924,33.04600143,43.47999954
9/21/2015,28.80249977,33.34899902,44.11000061
9/22/2015,28.35000038,32.65999985,43.90000153
9/23/2015,28.57999992,32.66450119,43.86999893
9/24/2015,28.75,32.74549866,43.90999985
9/25/2015,28.67749977,32.00749969,43.93999863
9/28/2015,28.11000061,31.21249962,43.29000092
9/29/2015,27.26499939,31.13050079,43.43999863
9/30/2015,27.57500076,31.9185009,44.25999832
10/1/2015,27.39500046,32.09999847,44.61000061
10/2/2015,27.59499931,32.84949875,45.56999969
10/5/2015,27.69499969,33.58399963,46.63000107
10/6/2015,27.82749939,33.58200073,46.75
10/7/2015,27.69499969,33.5,46.79999924
10/8/2015,27.375,33.34999847,47.45000076
10/9/2015,28.03000069,33.56200027,47.11000061
10/12/2015,27.89999962,33.82149887,47
10/13/2015,27.94750023,34.15850067,46.88999939
10/14/2015,27.55249977,34.02050018,46.68000031
10/15/2015,27.96500015,34.65100098,47.00999832
10/16/2015,27.76000023,34.76599884,47.50999832
10/19/2015,27.93250084,34.99750137,47.61999893
10/20/2015,28.44249916,34,47.77000046
10/21/2015,28.44000053,33.59000015,47.20000076
10/22/2015,28.875,34.05699921,48.02999878
10/23/2015,29.77000046,35.96649933,52.86999893
10/26/2015,28.81999969,36.55599976,54.25
10/27/2015,28.63750076,36.64099884,53.68999863
10/28/2015,29.81749916,36.84600067,53.97999954
10/29/2015,30.13249969,37.24250031,53.36000061
10/30/2015,29.875,36.86949921,52.63999939
11/2/2015,30.29500008,37.38700104,53.24000168
11/3/2015,30.64249992,37.44100189,54.15000153
11/4/2015,30.5,37.76549911,54.40000153
11/5/2015,30.22999954,38.03350067,54.38000107
11/6/2015,30.26499939,38.08000183,54.91999817
11/9/2015,30.14249992,37.73849869,54.15999985
11/10/2015,29.19249916,37.9129982,53.50999832
11/11/2015,29.02750015,38.26250076,53.65000153
11/12/2015,28.93000031,37.82649994,53.31999969
11/13/2015,28.08499908,37.00350189,52.84000015
11/16/2015,28.54500008,37.52099991,53.77000046
11/17/2015,28.42250061,37.29899979,52.97000122
11/18/2015,29.32250023,38.00049973,53.84999847
11/19/2015,29.69499969,37.99700165,53.93999863
11/20/2015,29.82500076,38.84999847,54.18999863
11/23/2015,29.4375,38.83499908,54.18999863
11/24/2015,29.71999931,38.48149872,54.25
11/25/2015,29.50749969,38.46300125,53.68999863
11/27/2015,29.45249939,38.5984993,53.93000031
11/30/2015,29.57500076,38.14250183,54.34999847
12/1/2015,29.33499908,39.1894989,55.22000122
12/2/2015,29.06999969,38.89250183,55.20999908
12/3/2015,28.79999924,38.40999985,54.20000076
12/4/2015,29.75749969,38.96049881,55.90999985
12/7/2015,29.56999969,38.6495018,55.81000137
12/8/2015,29.55750084,38.75699997,55.79000092
12/9/2015,28.90500069,38.12749863,54.97999954
12/10/2015,29.04249954,38.0019989,55.27000046
12/11/2015,28.29500008,37.52099991,54.06000137
12/14/2015,28.12000084,38.1269989,55.13999939
12/15/2015,27.62249947,38.00450134,55.20000076
12/16/2015,27.83499908,38.82949829,56.13000107
12/17/2015,27.24500084,38.49150085,55.70000076
12/18/2015,26.50749969,37.84249878,54.13000107
12/21/2015,26.83250046,38.04000092,54.83000183
12/22/2015,26.80750084,38.35649872,55.34999847
12/23/2015,27.15250015,38.42549896,55.81999969
12/24/2015,27.00749969,38.29199982,55.66999817
12/28/2015,26.70499992,39.11199951,55.95000076
12/29/2015,27.18499947,39.69800186,56.54999924
12/30/2015,26.82999992,39.51499939,56.31000137
12/31/2015,26.31500053,38.90050125,55.47999954
1/4/2016,26.33749962,37.97200012,54.79999924
1/5/2016,25.67749977,38.07649994,55.04999924
1/6/2016,25.17499924,37.96649933,54.04999924
1/7/2016,24.11249924,37.04999924,52.16999817
1/8/2016,24.23999977,36.54550171,52.33000183
1/11/2016,24.63249969,36.6534996,52.29999924
1/12/2016,24.98999977,37.26699829,52.77999878
1/13/2016,24.34749985,35.97850037,51.63999939
1/14/2016,24.87999916,36.56949997,53.11000061
1/15/2016,24.28249931,35.5245018,50.99000168
1/19/2016,24.16500092,35.95399857,50.56000137
1/20/2016,24.19750023,35.9280014,50.79000092
1/21/2016,24.07500076,36.33349991,50.47999954
1/22/2016,25.35499954,37.27299881,52.29000092
1/25/2016,24.86000061,36.68099976,51.79000092
1/26/2016,24.99749947,36.6894989,52.16999817
1/27/2016,23.35499954,35.87900162,51.22000122
1/28/2016,23.52249908,37.41500092,52.06000137
1/29/2016,24.33499908,38.06750107,55.09000015
2/1/2016,24.10750008,38.53850174,54.70999908
2/2/2016,23.62000084,39.04550171,53
2/3/2016,24.08749962,37.46900177,52.15999985
2/4/2016,24.14999962,36.50149918,52
2/5/2016,23.50499916,35.18799973,50.15999985
2/8/2016,23.75250053,35.20800018,49.40999985
2/9/2016,23.74749947,35.05099869,49.27999878
2/10/2016,23.56749916,35.34249878,49.70999908
2/11/2016,23.42499924,35.31800079,49.68999863
2/12/2016,23.49749947,35.3445015,50.5
2/16/2016,24.15999985,35.88199997,51.09000015
2/17/2016,24.53000069,36.5984993,52.41999817
2/18/2016,24.06500053,35.87549973,52.18999863
2/19/2016,24.01000023,36.10549927,51.81999969
